tanggal,positif,negatif,inconclusive,jumlah_sampel
7/19/2022 0:00,1131,3695,1,4827
7/20/2022 0:00,710,2658,0,3368
7/21/2022 0:00,666,3154,2,3822
7/22/2022 0:00,1117,3800,2,4919
7/23/2022 0:00,611,1833,1,2445
7/24/2022 0:00,570,2074,4,2648
7/25/2022 0:00,588,2014,0,2602
7/26/2022 0:00,1229,4834,4,6067
7/27/2022 0:00,1242,4196,1,5439
7/28/2022 0:00,785,2955,1,3741
7/29/2022 0:00,1413,5339,6,6758
7/30/2022 0:00,494,2147,3,2644
7/31/2022 0:00,616,1655,1,2272
8/1/2022 0:00,875,2688,1,3564
8/2/2022 0:00,1723,4129,3,5855
8/3/2022 0:00,956,2182,3,3141
8/4/2022 0:00,1413,3947,4,5364
8/5/2022 0:00,1356,4511,2,5869
8/6/2022 0:00,840,2386,0,3226
8/7/2022 0:00,918,2668,1,3587
8/8/2022 0:00,716,2082,1,2799
8/9/2022 0:00,1503,4408,11,5922
8/10/2022 0:00,1451,3874,1,5326
8/11/2022 0:00,1449,4413,0,5862
8/12/2022 0:00,1228,3588,0,4816
8/13/2022 0:00,1143,2879,6,4028
8/14/2022 0:00,597,1546,1,2144
8/15/2022 0:00,477,1503,0,1980
8/16/2022 0:00,1247,3154,3,4404
8/17/2022 0:00,1168,3403,0,4571
8/18/2022 0:00,747,2640,1,3388
8/19/2022 0:00,911,2707,1,3619
8/20/2022 0:00,930,2568,0,3498
8/21/2022 0:00,662,2105,1,2768
8/22/2022 0:00,858,2478,3,3339
8/23/2022 0:00,945,3295,4,4244
8/24/2022 0:00,1415,4354,1,5770
8/25/2022 0:00,924,3543,1,4468
8/26/2022 0:00,819,3090,0,3909
8/27/2022 0:00,553,2263,1,2817
8/28/2022 0:00,665,2566,5,3236
8/29/2022 0:00,760,2246,0,3006
8/30/2022 0:00,1411,3571,5,4987
8/31/2022 0:00,979,3088,1,4068
9/1/2022 0:00,557,2329,1,2887
9/2/2022 0:00,780,3014,2,3796
9/3/2022 0:00,685,2176,2,2863
9/4/2022 0:00,250,1005,0,1255
9/5/2022 0:00,578,2800,3,3381
9/6/2022 0:00,639,2179,0,2818
9/7/2022 0:00,716,2597,1,3314
9/8/2022 0:00,473,2111,0,2584
9/9/2022 0:00,481,1833,0,2314
9/10/2022 0:00,429,1725,1,2155
9/11/2022 0:00,380,1382,2,1764
9/12/2022 0:00,314,1258,2,1574
9/13/2022 0:00,562,2100,0,2662
